asset_tag,erp_asset_code,name,maintenance_category,asset_kind,serial_number,size,model,manufacturer_code,fa_subclass_code,operational_status,maintenance_status
L-MTR-958-0011,FA000001,"9 5/8"" MOTOR ASSEMBLY M7 WENZEL",MOTOR,asset,M7-962-0011,"9 5/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-958-0021,FA000002,"9 5/8"" MOTOR ASSEMBLY M7 WENZEL",MOTOR,asset,M7-962-0021,"9 5/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-634-0026,FA000003,"6 3/4"" MOTOR ASSEMBLY M7 WENZEL",MOTOR,asset,M7-675-0026,"6 3/4""",,V0043,MWD/LWD,ready_for_field,enrolled
L-MTR-634-0028,FA000004,"6 3/4"" MOTOR ASSEMBLY M7 WENZEL",MOTOR,asset,M7-675-0028,"6 3/4""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-800-5674,FA000005,"8"" MOTOR ASSEMBLY M40 WENZEL",MOTOR,asset,BDA 25674,"8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-800-5675,FA000006,"8"" MOTOR ASSEMBLY M40 WENZEL",MOTOR,asset,BDA 25675,"8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-218-6005,FA000007,"12 1/8"" SPIRAL STABILIZER",MOTOR,asset,WZL-160-05,"12 1/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-STR-000-2352,FA000008,"6 3/4"" STATOR S675785.0-STD-NBR HPW",MOTOR,component,4-C41235-2,"6 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-2351,FA000009,"6 3/4"" STATOR S675785.0-STD-NBR HPW",MOTOR,component,4-C41235-1,"6 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-RTR-000-5810,FA000010,"6 3/4"" ROTOR R675785.0-SLD-2.875 REG:WC-4.00",MOTOR,component,C21558-10,"6 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-RTR-000-5584,FA000011,"6 3/4"" ROTOR R675785.0-SLD-2.875 REG:WC-4.00",MOTOR,component,C21558-4,"6 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-2354,FA000012,"8"" STATOR S800784.0-STD-NBR HPW",MOTOR,component,4-C41235-4,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-2355,FA000013,"8"" STATOR S800784.0-STD-NBR HPW",MOTOR,component,4-C41235-5,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-RTR-000-0672,FA000014,"8"" ROTOR R800784.0-1.25-2.125 SA:WC",MOTOR,component,4-B00672,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-RTR-000-0673,FA000015,"8"" ROTOR R800784.0-1.25-2.125 SA:WC",MOTOR,component,4-B00673,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-RTR-958-0010,FA000016,"9 5/8"" MOTOR ASSEMBLY M7 WENZEL",MOTOR,component,M7-962-0010,"9 5/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-RTR-634-0031,FA000017,"6 3/4"" MOTOR ASSEMBLY M7 WENZEL",MOTOR,component,M7-675-0031,"6 3/4""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-STR-000-0018,FA000018,"6 3/4"" STATOR S675785.0-1OS ( 51059)",MOTOR,component,,"6 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-MTR-000-9009,FA000019,"9 5/8"" BEARING ASSEMBLY NUT",MOTOR,asset,LDC-405-9009,"9 5/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-838-1005,FA000020,"8 3/8"" STRAIGHT STABILIZER SLEEVES",MOTOR,asset,WZL-0231-005,"8 3/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-RTR-434-0001,FA000021,"4 3/4"" MOTOR ASSEMBLY M7 WENZEL",MOTOR,component,M47-M7-0001,"4 3/4""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-RTR-434-0002,FA000022,"4 3/4"" MOTOR ASSEMBLY M7 WENZEL",MOTOR,component,M47-M7-0002,"4 3/4""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-RTR-000-1646,FA000023,"6 3/4"" ROTOR R675785.0-SLD-1.375-6 SA:WC",MOTOR,component,4-B01646,"6 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-RTR-800-0029,FA000024,"8"" MOTOR ASSEMBLY M40",MOTOR,component,M40-0800-0029,"8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-RTR-800-0032,FA000025,"8"" MOTOR ASSEMBLY M40",MOTOR,component,M40-0800-0032,"8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-838-6001,FA000026,"8 3/8"" Straight Sleeve Stabilizer",MOTOR,asset,WZL-0196-001,"8 3/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-534-1001,FA000027,"15 3/4"" Spiral Sleeve Stabilizer",MOTOR,asset,WZL-0231-001,"15 3/4""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-218-1002,FA000028,"12 1/4"" Straight Sleeve Stabilizer",MOTOR,asset,WZL-0231-002,"12 1/4""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-218-1003,FA000029,"12 1/8"" Straight Sleeve Stabilizer",MOTOR,asset,WZL-0231-003,"12 1/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
