source_row,erp_system_id,original_erp_part_code,erp_part_code,original_name,cleaned_name,name_cleanup_notes,unit_of_measure,available_quantity,status,is_active,inventory_posting_group,item_category_code,proposed_maintenance_category_name,category_source,category_confidence,proposed_size,proposed_size_inches,size_source,size_confidence,detected_measurements,proposed_part_number,part_number_source,part_number_confidence,erp_modified_at,requires_review,review_notes
2,478a85a2-c971-f011-8eef-6045bd6acac2,7HF 400ML,7HF 400ML,7HF 400ml Magntic Ink Aerosols Box of 10,7HF 400ml Magnetic Ink Aerosols Box of 10,normalized non-breaking spaces; corrected spelling to Magnetic,BOX,2,active,true,,,,,blank_allowed,,,,blank_allowed,,,,none,5/3/2026 5:39 PM,false,
3,8a59a5f0-2971-f011-8eef-002248d3581c,LG-1036-AKAKUS,LG-1036-AKAKUS,5 ATM Waterproof 304 Stainless Steel Watch - AOO LOGO,5 ATM Waterproof 304 Stainless Steel Watch - AOO LOGO,normalized non-breaking spaces,PCS,0,active,true,,,,,blank_allowed,,,,blank_allowed,,,,none,11/3/2025 4:34 PM,false,
4,5478198f-2871-f011-8eef-002248d3581c,LG-1036-LDC,LG-1036-LDC,5 ATM Waterproof 304 Stainless Steel Watch - LDC LOGO,5 ATM Waterproof 304 Stainless Steel Watch - LDC LOGO,normalized non-breaking spaces,PCS,0,active,true,,,,,blank_allowed,,,,blank_allowed,,,,none,8/4/2025 4:07 PM,false,
5,b0e13d46-2a71-f011-8eef-002248d3581c,LG-1036-WAHA,LG-1036-WAHA,5 ATM Waterproof 304 Stainless Steel Watch - WOC LOGO,5 ATM Waterproof 304 Stainless Steel Watch - WOC LOGO,normalized non-breaking spaces,PCS,0,active,true,,,,,blank_allowed,,,,blank_allowed,,,,none,8/4/2025 4:07 PM,false,
6,5475b663-2971-f011-8eef-002248d3581c,LG-1036-ZALLAF,LG-1036-ZALLAF,5 ATM Waterproof 304 Stainless Steel Watch - ZALLAF LOGO,5 ATM Waterproof 304 Stainless Steel Watch - ZALLAF LOGO,normalized non-breaking spaces,PCS,0,active,true,,,,,blank_allowed,,,,blank_allowed,,,,none,8/4/2025 4:07 PM,false,
7,07bbbb2d-ca71-f011-8eef-6045bd6acac2,SKC-S,SKC-S,SKC-S Cleaner Aerosols 400ml,SKC-S Cleaner Aerosols 400ml,normalized non-breaking spaces,BOX,4,active,true,,,,,blank_allowed,,,,blank_allowed,,,,none,12/4/2025 10:46 AM,false,
8,74a677eb-c971-f011-8eef-6045bd6acac2,SKD-S2,SKD-S2,SKD-S2 Developer Aerosols 400ml,SKD-S2 Developer Aerosols 400ml,normalized non-breaking spaces,BOX,2,active,true,,,,,blank_allowed,,,,blank_allowed,,,,none,12/4/2025 10:46 AM,false,
9,f05e22c7-c971-f011-8eef-6045bd6acac2,SKL-SP2,SKL-SP2,SKL-SP2 Red Penetrant Box of 10,SKL-SP2 Red Penetrant Box of 10,normalized non-breaking spaces,BOX,2,active,true,,,,,blank_allowed,,,,blank_allowed,,,,none,12/4/2025 10:46 AM,false,
10,35c42dfe-c771-f011-8eef-6045bd6acac2,SONO 600,SONO 600,"Sonotech Sono 600 high temp. ultrasonic couplant, 1 gallon (~3,8 ltr) cubitainer 18°C to 371°C","Sonotech Sono 600 high temp. ultrasonic couplant, 1 gallon (~3,8 ltr) cubitainer 18°C to 371°C",normalized non-breaking spaces,GAL,1,active,true,,,,,blank_allowed,,,,blank_allowed,,,,none,12/4/2025 10:46 AM,false,
11,2774ddab-c871-f011-8eef-6045bd6acac2,ULTRAGEL II,ULTRAGEL II,Ultragel II 3.78 LT,Ultragel II 3.78 LT,normalized non-breaking spaces,LITER,2,active,true,,,,,blank_allowed,,,,blank_allowed,,,,none,12/4/2025 10:46 AM,false,
12,6abc693c-c971-f011-8eef-6045bd6acac2,WCP-2 400ML,WCP-2 400ML,WCP-2 400ml Contrast Paint Aerosols Box of 10,WCP-2 400ml Contrast Paint Aerosols Box of 10,normalized non-breaking spaces,BOX,2,active,true,,,,,blank_allowed,,,,blank_allowed,,,,none,2/22/2026 11:04 AM,false,
13,e3436120-0e71-f011-8eef-002248d3581c,FBA-BST EM5-00021,FBA-BST EM5-00021,BLUESTAR 29V 150 EP MR DD 8 PA,BLUESTAR 29V 150 EP MR DD 8 PA,normalized non-breaking spaces,PCS,3,active,true,BATTERY,,,ERP Inventory Posting Group,blank_allowed,,,,blank_allowed,,,,none,3/5/2026 11:49 AM,false,
14,65fa6433-0b3e-f011-be59-6045bd157c64,1001,1001,CAP SCREW,CAP SCREW,normalized non-breaking spaces,PCS,0,active,true,BOMSP,,,ERP Inventory Posting Group,blank_allowed,,,,blank_allowed,,,,none,9/21/2025 8:41 PM,false,
15,63fa6433-0b3e-f011-be59-6045bd157c64,1002,1002,CAP SCREW,CAP SCREW,normalized non-breaking spaces,PCS,0,active,true,BOMSP,,,ERP Inventory Posting Group,blank_allowed,,,,blank_allowed,,,,none,9/21/2025 8:40 PM,false,
16,6bfa6433-0b3e-f011-be59-6045bd157c64,1276-B-16,1276-B-16,SUPPORT ROLLERS,SUPPORT ROLLERS,normalized non-breaking spaces,PCS,0,active,true,BOMSP,,,ERP Inventory Posting Group,blank_allowed,,,,blank_allowed,,,,none,9/7/2025 10:32 AM,false,
17,69fa6433-0b3e-f011-be59-6045bd157c64,1689-A-30,1689-A-30,TONG DIES,TONG DIES,normalized non-breaking spaces,PCS,0,active,true,BOMSP,,,ERP Inventory Posting Group,blank_allowed,,,,blank_allowed,,,,none,9/7/2025 10:32 AM,false,
18,6dfa6433-0b3e-f011-be59-6045bd157c64,20670205,20670205,CONSOLE FILTER,CONSOLE FILTER,normalized non-breaking spaces,PCS,0,active,true,BOMSP,,,ERP Inventory Posting Group,blank_allowed,,,,blank_allowed,,,,none,9/7/2025 10:32 AM,false,
19,5ffa6433-0b3e-f011-be59-6045bd157c64,2800-CC-06,2800-CC-06,CLAMP HEADS,CLAMP HEADS,normalized non-breaking spaces,PCS,0,active,true,BOMSP,,,ERP Inventory Posting Group,blank_allowed,,,,blank_allowed,,,,none,9/7/2025 10:32 AM,false,
20,61fa6433-0b3e-f011-be59-6045bd157c64,2800-CC-07,2800-CC-07,TONG DIE WASHERS,TONG DIE WASHERS,normalized non-breaking spaces,PCS,0,active,true,BOMSP,,,ERP Inventory Posting Group,blank_allowed,,,,blank_allowed,,,,none,9/7/2025 10:32 AM,false,
21,6e0f95fb-fe65-f011-8eed-002248cb613d,TD082080,TD082080,TONG DIE ½” X 1-1/4” X 5” ,"TONG DIE 1/2"" X 1 1/4"" X 5""",normalized non-breaking spaces; expanded ½ to 1/2; normalized inch marks; normalized mixed fractions,PCS,48,active,true,BOMSP,,,ERP Inventory Posting Group,blank_allowed,,,/api/list-options/asset_sizes,blank_allowed,"1/2"" -> 1/2"" | 1 1/4"" -> 1 1/4"" | 5"" -> 5""",,,none,2/22/2026 10:52 AM,false,
22,ff2e5b39-0b3e-f011-be59-6045bd157c64,1004,1004,"7"" 17-35# MECHANICAL SET CEMENT RETAINER","7"" 17-35# MECHANICAL SET CEMENT RETAINER",normalized non-breaking spaces,PCS,0,active,true,COMPLETION,,COMPLETION,ERP Inventory Posting Group,high,"7""",7.00000,Description,high,"7"" -> 7""",,,none,3/5/2026 11:50 AM,false,
23,062f5b39-0b3e-f011-be59-6045bd157c64,1005,1005,"MECHANICAL SETTING TOOL FOR 7""","MECHANICAL SETTING TOOL FOR 7""",normalized non-breaking spaces,PCS,0,active,true,COMPLETION,,COMPLETION,ERP Inventory Posting Group,high,"7""",7.00000,/api/list-options/asset_sizes,asset_size_match,"7"" -> 7""",,,none,3/5/2026 11:50 AM,false,
24,092f5b39-0b3e-f011-be59-6045bd157c64,1006,1006,"REDRESS KIT FOR MECHANICAL SETTING TOOL 7""","REDRESS KIT FOR MECHANICAL SETTING TOOL 7""",normalized non-breaking spaces,PCS,0,active,true,COMPLETION,,COMPLETION,ERP Inventory Posting Group,high,"7""",7.00000,Description,high,"7"" -> 7""",,,none,3/5/2026 11:51 AM,false,
25,1b2f5b39-0b3e-f011-be59-6045bd157c64,1007,1007,"PERMANENT BRIDGE PLUG 7"" 17-35#","PERMANENT BRIDGE PLUG 7"" 17-35#",normalized non-breaking spaces,PCS,0,active,true,COMPLETION,,COMPLETION,ERP Inventory Posting Group,high,"7""",7.00000,/api/list-options/asset_sizes,asset_size_match,"7"" -> 7""",,,none,3/5/2026 11:51 AM,false,
26,272f5b39-0b3e-f011-be59-6045bd157c64,1008,1008,"ADAPTER KIT  FOR 7""","ADAPTER KIT FOR 7""",normalized non-breaking spaces; normalized spacing and punctuation,PCS,0,active,true,COMPLETION,,COMPLETION,ERP Inventory Posting Group,high,"7""",7.00000,/api/list-options/asset_sizes,asset_size_match,"7"" -> 7""",,,none,3/5/2026 11:51 AM,false,
27,2d2f5b39-0b3e-f011-be59-6045bd157c64,1009,1009,HYDRAULIC SETTING TOOL SIZE 20,HYDRAULIC SETTING TOOL SIZE 20,normalized non-breaking spaces,PCS,0,active,true,COMPLETION,,COMPLETION,ERP Inventory Posting Group,high,,,,blank_allowed,,,,none,3/5/2026 11:51 AM,false,
28,332f5b39-0b3e-f011-be59-6045bd157c64,1010,1010,REDRESS KIT FOR HYDRAULIC SETTING TOOL SIZE 20,REDRESS KIT FOR HYDRAULIC SETTING TOOL SIZE 20,normalized non-breaking spaces,PCS,0,active,true,COMPLETION,,COMPLETION,ERP Inventory Posting Group,high,,,,blank_allowed,,,,none,3/5/2026 11:52 AM,false,
29,412f5b39-0b3e-f011-be59-6045bd157c64,1013,1013,"7"" 23# LINER HANGER PACKER SYSTEM","7"" 23# LINER HANGER PACKER SYSTEM",normalized non-breaking spaces,PCS,0,active,true,COMPLETION,,COMPLETION,ERP Inventory Posting Group,high,"7""",7.00000,Description,high,"7"" -> 7""",,,none,3/5/2026 11:53 AM,false,
30,462f5b39-0b3e-f011-be59-6045bd157c64,1014,1014,"7"" RUNNING TOOL","7"" RUNNING TOOL",normalized non-breaking spaces,PCS,1,active,true,COMPLETION,,COMPLETION,ERP Inventory Posting Group,high,"7""",7.00000,Description,high,"7"" -> 7""",,,none,4/2/2026 11:28 AM,false,
31,502f5b39-0b3e-f011-be59-6045bd157c64,1016,1016,"5"" Running Tool for installing and cementing consisting of - Lift Nipple with Floating Junk Bonnet","5"" Running Tool for installing and cementing consisting of - Lift Nipple with Floating Junk Bonnet",normalized non-breaking spaces,PCS,0,active,true,COMPLETION,,COMPLETION,ERP Inventory Posting Group,high,"5""",5.00000,Description,high,"5"" -> 5""",,,none,9/7/2025 10:32 AM,false,
32,542f5b39-0b3e-f011-be59-6045bd157c64,1017,1017,4-1/2''IF Pin x 1/2''NPT Box Pressure Test Cap ,"4 1/2""IF Pin x 1/2""NPT Box Pressure Test Cap",normalized non-breaking spaces; normalized inch marks; normalized mixed fractions,PCS,0,active,true,COMPLETION,,COMPLETION,ERP Inventory Posting Group,high,,,/api/list-options/asset_sizes,blank_allowed,"4 1/2"" -> 4 1/2"" | 1/2"" -> 1/2""",,,none,9/7/2025 10:32 AM,false,
33,592f5b39-0b3e-f011-be59-6045bd157c64,1018,1018,7''BTC Box Pressure Test Cap ,"7""BTC Box Pressure Test Cap",normalized non-breaking spaces; normalized inch marks,PCS,0,active,true,COMPLETION,,COMPLETION,ERP Inventory Posting Group,high,"7""",7.00000,/api/list-options/asset_sizes,asset_size_match,"7"" -> 7""",,,none,9/7/2025 10:32 AM,false,
34,5f2f5b39-0b3e-f011-be59-6045bd157c64,1019,1019,3-1/2''IF Pin x 1/2''NPT box Pressure Test Cap,"3 1/2""IF Pin x 1/2""NPT box Pressure Test Cap",normalized non-breaking spaces; normalized inch marks; normalized mixed fractions,PCS,0,active,true,COMPLETION,,COMPLETION,ERP Inventory Posting Group,high,"3 1/2""",3.50000,/api/list-options/asset_sizes,asset_size_match,"3 1/2"" -> 3 1/2"" | 1/2"" -> 1/2""",,,none,9/7/2025 10:32 AM,false,
35,682f5b39-0b3e-f011-be59-6045bd157c64,1021,1021,"5"" 18# Liner Hanger Packer System for cementing with rotating, hydraulic set and release ","5"" 18# Liner Hanger Packer System for cementing with rotating, hydraulic set and release",normalized non-breaking spaces,PCS,0,active,true,COMPLETION,,COMPLETION,ERP Inventory Posting Group,high,"5""",5.00000,Description,high,"5"" -> 5""",,,none,9/7/2025 10:32 AM,false,
36,6d2f5b39-0b3e-f011-be59-6045bd157c64,1022,1022,"5"" Running Tool for installing and cementing the liner -2x Stinger for ack off Bushing","5"" Running Tool for installing and cementing the liner -2x Stinger for Pack-Off Bushing",normalized non-breaking spaces; corrected Pack-Off Bushing,PCS,0,active,true,COMPLETION,,COMPLETION,ERP Inventory Posting Group,high,"5""",5.00000,Description,high,"5"" -> 5""",,,none,9/7/2025 10:32 AM,false,
37,742f5b39-0b3e-f011-be59-6045bd157c64,1023,1023,"Parts for 1x5"" running tool for installing and cement the liner -Pack off bushing ","Parts for 1x5"" running tool for installing and cement the liner -Pack off bushing",normalized non-breaking spaces,PCS,0,active,true,COMPLETION,,COMPLETION,ERP Inventory Posting Group,high,"5""",5.00000,Description,high,"5"" -> 5""",,,none,9/7/2025 10:32 AM,false,
38,782f5b39-0b3e-f011-be59-6045bd157c64,1024,1024,"4 1/2"" - 5"" Plug Holder","4 1/2"" - 5"" Plug Holder",normalized non-breaking spaces,PCS,0,active,true,COMPLETION,,COMPLETION,ERP Inventory Posting Group,high,"5""",5.00000,/api/list-options/asset_sizes,asset_size_match,"4 1/2"" -> 4 1/2"" | 5"" -> 5""",,,none,9/7/2025 10:32 AM,false,
39,7d2f5b39-0b3e-f011-be59-6045bd157c64,1025,1025,"4 1/2"" - 5"" Pick up Sub","4 1/2"" - 5"" Pick up Sub",normalized non-breaking spaces,PCS,0,active,true,COMPLETION,,COMPLETION,ERP Inventory Posting Group,high,"5""",5.00000,/api/list-options/asset_sizes,asset_size_match,"4 1/2"" -> 4 1/2"" | 5"" -> 5""",,,none,9/7/2025 10:32 AM,false,
40,832f5b39-0b3e-f011-be59-6045bd157c64,1026,1026,"Top Drive Cement Head, Double","Top Drive Cement Head, Double",normalized non-breaking spaces,PCS,0,active,true,COMPLETION,,COMPLETION,ERP Inventory Posting Group,high,,,,blank_allowed,,,,none,3/5/2026 3:42 PM,false,
