no,description,searchDescription,description2,faClassCode,faSubclassCode,globalDimension1Code,globalDimension2Code,locationCode,faLocationCode,vendorNo,mainAssetComponent,componentOfMainAsset,warrantyDate,serialNo,lastDateModified,blocked,maintenanceVendorNo,underMaintenance,nextServiceDate,inactive,noSeries,faPostingGroup
FA000001,"9 5/8"" M7 MOTOR ASSEMBLY ","9 5/8"" M7 MOTOR ASSEMBLY",,01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,M7-962-0011,2025-11-05,False,,False,0001-01-01,False,,DRILL.FISH
FA000002,"9 5/8"" M7 MOTOR ASSEMBLY","9 5/8"" M7 MOTOR ASSEMBLY",,01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,M7-962-0021,2025-11-05,False,,False,0001-01-01,False,,DRILL.FISH
FA000003,"6 3/4"" MUD LUBE MOTOR ASSEMBY WITH 6 1/2"" WK3","6 3/4"" MUD LUBE MOTOR ASSEMBY WITH 6 1/2"" WK3",,01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,M7-675-0026 ,2025-11-05,False,,False,0001-01-01,False,,DRILL.FISH
FA000004,"6 3/4"" MUD LUBE MOTOR ASSEMBY WITH 6 1/2"" WK3","6 3/4"" MUD LUBE MOTOR ASSEMBY WITH 6 1/2"" WK3",,01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,M7-675-0028,2025-11-05,False,,False,0001-01-01,False,,DRILL.FISH
FA000005,"8"" DRILLING MOTOR ","8"" DRILLING MOTOR",,01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,BDA 25674,2025-11-05,False,,False,0001-01-01,False,,DRILL.FISH
FA000006,"8"" DRILLING MOTOR","8"" DRILLING MOTOR",,01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,BDA 25675,2025-11-05,False,,False,0001-01-01,False,,DRILL.FISH
FA000007,"12 1/8"" SPIRAL SCREW STABILIZER","12 1/8"" SPIRAL SCREW STABILIZER",,01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,WZL-160-05,2025-11-05,False,,False,0001-01-01,False,,DRILL.FISH
FA000008,S675785.0-STD-NBR HPW--STATOR,S675785.0-STD-NBR HPW--STATOR,,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,4-C41235-2,2026-06-02,False,,False,0001-01-01,False,,DRILL.FISH
FA000009,S675785.0-STD-NBR HPW--STATOR,S675785.0-STD-NBR HPW--STATOR,,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,4-C41235-1,2026-06-02,False,,False,0001-01-01,False,,DRILL.FISH
FA000010,R675785.0-SLD-2.875 REG:WC-4.00 ROTOR,R675785.0-SLD-2.875 REG:WC-4.00 ROTOR,,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,C21558-10,2026-05-31,False,,False,0001-01-01,False,,DRILL.FISH
FA000011,R675785.0-SLD-2.875 REG:WC-4.00 ROTOR,R675785.0-SLD-2.875 REG:WC-4.00 ROTOR,,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,C21558-4,2026-05-31,False,,False,0001-01-01,False,,DRILL.FISH
FA000012,S800784.0-STD-NBR HPW STATOR,S800784.0-STD-NBR HPW STATOR,,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,4-C41235-4,2026-05-26,False,,False,0001-01-01,False,,DRILL.FISH
FA000013,S800784.0-STD-NBR HPW STATOR,S800784.0-STD-NBR HPW STATOR,,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,4-C41235-5,2026-05-26,False,,False,0001-01-01,False,,DRILL.FISH
FA000014,R800784.0-1.25-2.125 SA:WC ROTOR,R800784.0-1.25-2.125 SA:WC ROTOR,,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,4-B00672,2026-02-18,False,,False,0001-01-01,False,,DRILL.FISH
FA000015,R800784.0-1.25-2.125 SA:WC ROTOR,R800784.0-1.25-2.125 SA:WC ROTOR,,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,4-B00673,2026-02-18,False,,False,0001-01-01,False,,DRILL.FISH
FA000016,"9 5/8"""" M7 Mud Lube Lower End with S22 Adjustable, WK3 Driveline assembly and rotor retainer top","9 5/8"""" M7 MUD LUBE LOWER END WITH S22 ADJUSTABLE, WK3 DRIVELINE ASSEMBLY AND ROTOR RETAINER TOP","sub assembly (7 5/8"" REG top and bottom connection",01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,M7-962-0010,2025-11-05,False,,False,0001-01-01,False,,DRILL.FISH
